,ID,Date,Latitude,Longitude,Year
233,ISCGEM854661,8/16/1965,-0.53,-19.951,1965
234,ISCGEM854696,8/17/1965,4.872,95.836,1965
235,ISCGEM854706,8/17/1965,-15.185,166.67,1965
236,ISCGEM854753,8/18/1965,-15.945,166.99900000000002,1965
237,ISCGEM854799,8/20/1965,-5.7139999999999995,128.493,1965
238,ISCGEM854803,8/20/1965,-18.954,-68.82,1965
239,ISCGEMSUP854809,8/20/1965,-22.886999999999997,-176.19400000000002,1965
240,ISCGEM854827,8/21/1965,-5.921,103.993,1965
241,ISCGEM854868,8/23/1965,40.459,26.206,1965
242,ISCGEM854871,8/23/1965,16.081,-95.867,1965
243,ISCGEM854885,8/24/1965,15.837,-96.235,1965
244,ISCGEM854972,8/27/1965,44.453,149.06,1965
245,ISCGEM855027,8/30/1965,-16.930999999999997,167.454,1965
246,ISCGEMSUP855043,8/30/1965,-6.428,104.667,1965
247,ISCGEMSUP853515,9/1/1965,-34.596,179.922,1965
248,ISCGEM853538,9/2/1965,51.867,175.451,1965
249,ISCGEM853601,9/4/1965,46.515,153.387,1965
250,ISCGEM853605,9/4/1965,58.09,-152.525,1965
251,ISCGEM853683,9/8/1965,57.513000000000005,-152.263,1965
252,ISCGEM853712,9/9/1965,6.47,-84.40799999999999,1965
253,ISCGEM853760,9/11/1965,-5.349,152.955,1965
254,ISCGEM853784,9/12/1965,-6.209,151.651,1965
255,ISCGEM853797,9/12/1965,-6.416,70.726,1965
256,ISCGEM853808,9/13/1965,55.338,165.731,1965
257,ISCGEM853817,9/13/1965,-36.448,-97.6,1965
258,ISCGEM853835,9/14/1965,8.382,126.895,1965
259,ISCGEM853881,9/16/1965,7.156000000000001,126.522,1965
260,ISCGEM853904,9/17/1965,-1.443,-77.476,1965
261,ISCGEM853914,9/17/1965,36.269,141.533,1965
262,ISCGEM853917,9/17/1965,36.245,141.53,1965
263,ISCGEM853920,9/17/1965,36.27,141.361,1965
264,ISCGEM853952,9/18/1965,8.187999999999999,126.874,1965
265,ISCGEM854009,9/21/1965,28.951999999999998,128.227,1965
266,ISCGEM854025,9/22/1965,20.682,99.32600000000001,1965
267,ISCGEM854040,9/22/1965,-5.391,151.631,1965
268,ISCGEM854045,9/22/1965,36.395,141.46,1965
269,ISCGEM854087,9/24/1965,13.092,145.167,1965
270,ISCGEM854110,9/25/1965,39.626,143.357,1965
271,ISCGEM854160,9/26/1965,-54.757,-38.244,1965
272,ISCGEM854167,9/27/1965,51.751999999999995,175.5,1965
273,ISCGEM854190,9/28/1965,-28.278000000000002,-177.99900000000002,1965
274,ISCGEM854249,9/30/1965,59.28,-144.06,1965
275,ISCGEM852802,10/1/1965,49.937,178.166,1965
276,ISCGEM852814,10/1/1965,-19.921,174.48,1965
277,ISCGEM852823,10/1/1965,-60.468,-24.551,1965
